company_name,company_short_data
롯데GRS,"도소매, QSR"
지에스에코메탈주식회사,"제조업, 삼산화몰리브덴, 오산화바나듐"
 오제이씨,"제조업, 스틸 캔, 스틸 드럼"
(주) 엔켐,"제조업, 이차전지 소재 (전해액)"
(주) 휴비스,"제조업, 합성섬유"
(주)동성케미컬,"제조업, 폴리우레탄 수지, 유기과산화... 등"
(주)엘오티베큠,"제조업, 진공펌프(반도체, 디스플레이... 등"
(주)우진기전,"도매, 제조, 건설, 산업용전기기기, 태양광발전 ... 등"
(주)이노와이어리스,"제조업, 종합계측기 측정기"
(주)코넥,"제조업, 전장부품 하우징, 컨버터 하... 등"
(주)휴온스푸디언스,"제조업, 인삼, 홍삼식품, 건강기능식... 등"
AP시스템(주),"제조업, 반도체, 디스플레이, 이차전... 등"
JW홀딩스,"수출입업, 의약품 ..., 의약품"
㈜정우산업,"제조업, 지게차프레임"
㈜진성유로텍,"제조업, 절삭공구"
대선이엔씨,"건설업, 전기, 통신 공사"
대원제약주식회사,"제조업, 의약품"
동양산업(주),"제조업, 자동차부품"
동진쎄미켐,"제조업, 반도체 및 디스플레이용 PR... 등"
디에스시,"제조업, 자동차 부품"
모트렉스,"제조업, 자동차 전장부품(네비게이션)"
미래나노텍(주),"제조업, 디스플레이 필름"
부산항터미널주식회사,"항만하역업, 항만하역"
삼송,"제조업, 자동차 시트벨트"
세프라,"제조업, 자동차용 플라스틱 제조 및 ... 등"
송원산업,"제조업, 폴리머 안정제, 연료 및 윤... 등"
시노펙스,"제조업, FPCB 및 필터"
쌍용레미콘,"제조업, (레미콘 : 18개, 골재사... 등"
에프에스티,"제조업, 펠리클 / 칠러"
엘오티머트리얼즈,"제조업, 반도체 및 LCD 부품"
오아시스마켓,"제조업, 이커머스"
와브코코리아,"제조업, Air compressor"
용마로지스(주),"3pl, 택배, 국제물..., 물류서비스 "
전진건설로봇(주),"제조업, 건설기계"
주식회사 엔디알,"제조업, 콘크리트구조물"
주식회사 원익큐엔씨,"제조업, 반도체용 쿼츠웨어, 세라믹 ... 등"
코리아에프티(주),"제조업, 카본 캐니스터, 플라스틱 필... 등"
코비코(주),"제조업, 자동차부품"
테크로스,"제조업, 선박평형수 처리장치"
티엠씨,"제조업, 상선 및 해양플랜트용, 광통... 등"
필에너지,"제조업, 이차전지 제조장비"
필옵틱스,"제조업, 디스플레이제조장비"
하이록코리아 주식회사,"제조업, 관이음쇠 및 밸브"
한국진공주식회사,"제조업, 진공관련장비"
한양소재 주식회사,"제조업, 플라스틱 가공"
한진부산컨테이너터미널,"항만하역, 컨테이너하역"
현대종합금속,"제조업, 용접봉"
휴엠앤씨,"제조업, 스폰지,유리용기"
